id,title,author,genre,summary,isCheckedOut,cover
42,Holup on Patterns,Apress,educational,,FALSE,
17,Imagine It Forward,Beth Comstock,self-help,,FALSE,
45,Implementing Splunk,Vincent Bumgarner,educational,"Confronting change is incredibly hard, both organizationally and personally. People become resistant. They are afraid. Yet the pace of change in our world will never be slower than it is right now, says Beth Comstock, the former Vice Chair and head of marketing and innovation at GE.",FALSE,
70,Intellectual Property,Miller-Davis,self-help,,FALSE,
4,Interaction Design: Beyond Human-Computer Interaction,"Helen Sharp, Jennifer Preece, Yvonne Rogers",educational,,FALSE,
39,Introducing ASP.NET 2.0,Microsoft Press,educational,,FALSE,
24,Introduction to Meta-Analysis,"Borenstein Hedges, Higgins Rothstein",educational,,FALSE,
64,Introduction to Stochastic Processes,Dover,educational,,FALSE,
50,Introduction to the Theory of Computation,Sipser,educational,,FALSE,
29,It Happened in India,Kishore Biyani,non-fiction,,FALSE,
84,It’s the Manager,"Jim Clifton, Jim Harter",business,,FALSE,
91,I’ll Give You The Sun,Jandy Nelson,fiction,,FALSE,
86,Juliet Takes a Breath,Gabby River,fiction,,FALSE,
130,Kano Graded Go Problems for Beginners: Volume Two,TBD,educational,,FALSE,
148,Knife of Dreams,Robert Jordan,fiction,,FALSE,
88,Lone Surviver,Marcus Luttrell,non-fiction,,FALSE,
72,Microsoft SQL Server 2005 Integration Services,Haselden,educational,,FALSE,
131,My Best Mathematical and Logic Puzzles,Gardner,educational,,FALSE,
98,My One Word,Ashcraft and Olsen,self-help,,FALSE,
36,MYSQL: In a Nutshell,TBD,educational,,FALSE,
85,Nevada,Imogen Binnie,fiction,,FALSE,
104,Nimona,Noelle Stevenson,fiction,,FALSE,
132,No One Writes to the Colonel,Gabriel Garcia Marquez,fiction,,FALSE,
49,Operating System Concepts,Silberschatz Galvin Gagne,educational,,FALSE,
111,Oracle8i The Complete Reference,Loney Koch,educational,,FALSE,
103,Orbiting the Giant Hairball,Gordon Mackenzie,self-help,,FALSE,
129,Paper Swordsmen,Hamm,fiction,,FALSE,
67,Patient Strategies for Business,Glazier,business,,FALSE,
126,Practical Empathy,Indy Young,self-help,,FALSE,
10,Practical Hive,Scott Shaw,educational,,FALSE,
147,Pro C# 5.0 and the .NET 4.5 Framework,TBD,educational,,FALSE,
136,Red Seas Under Red Skies,Scott Lynch,fiction,,FALSE,
3,Ruling Your World,Sakyong Mipham,self-help,,FALSE,
124,Sailing Smart,Buddy Melges and Charles Mason,educational,,FALSE,
74,SharePoint 2007 Development,"Holiday, Alexander, Julia, Robillard, Schwartz, Ranlett, Attis, Buenz, Rizzo",educational,,FALSE,
30,Social Intelligence: The Revolutionary New Science of Human Relationships,Daniel Goleman,educational,,FALSE,
35,Software Testing and Continuous Quality Improvement,Lewis,educational,,FALSE,
97,Song of a Captive Bird,Jasmin Darzink,fiction,,FALSE,
122,Speed Baduk: Answers Level 10-12,Oromedia,educational,,FALSE,
119,Speed Baduk: Level 10,Oromedia,educational,,FALSE,
120,Speed Baduk: Level 11,Oromedia,educational,,FALSE,
121,Speed Baduk: Level 12,Oromedia,educational,,FALSE,
117,Speed Baduk: Level 8,Oromedia,educational,,FALSE,
118,Speed Baduk: Level 9,Oromedia,educational,,FALSE,
6,SQL Server 2000 Programming,Robert Vieira,educational,,FALSE,
14,SQL Server 2000 Query Performance Tuning Distilled,Grant Frithchey,educational,,FALSE,
78,SQL Server 2000: Stored Procedure and XML Programming,Sunderic,educational,"Queries are one of the fundamental tools for manipulating data within SQL Server, and knowledge o f them is a necessity. This book uses a focused and practical approach to provide you with the most efficient methods to employ with queries. It focuses on the means SQL Server provides to understand the cost of a query, and provides recommendations for ways to remedy poorly-performing queries.",FALSE,
37,SQL Server 2005 Integration Services,TBD,educational,,FALSE,
47,SQL Server 2005 Service Broker,Aschenbrenner,educational,,FALSE,
75,SQL Server Analysis Services 2005 with MDX,Harinath Quinn,educational,,FALSE,
79,SQL Server Hardware,Glenn Berry,educational,,FALSE,
43,SQL Tuning,O Reilly,educational,,FALSE,
123,St. Louis,Insiders’ Guide,educational,,FALSE,
8,Super Crunchers: Why Thinking-By-Numbers Is The New Way To Be Smart,Ian Ayres,self-help,,FALSE,
2,Symbol,Angus Hyland/Steven Bateman,educational,"Book written by Ian Ayres, a law professor at Yale Law School, about how quantitative analysis of social behaviour and natural experiment can be creatively deployed to reveal insights in all areas of life, often in unexpected ways.",FALSE,
89,Symptoms of Being Human,Garvin,self-help,,FALSE,
21,Taiwan,Michelin,non-fiction,,FALSE,
140,Tea with Milk,Allen Say,fiction,,FALSE,
9,The Art of Scalability,"Martin L. Abbot, Michael T. Fisher",business,,FALSE,
100,The Black Tides of Heaven,Jy Yang,fiction,"In The Art of Scalability, Second Edition, leading scalability consultants Martin L. Abbott and Michael T. Fisher cover everything you need to know to smoothly scale products and services for any requirement. This extensively revised edition reflects new technologies, strategies, and lessons, as well as new case studies from the authors’ pioneering consulting practice, AKF Partners.",FALSE,
68,The Book of IQ Tests,Sterling Innovation,educational,,FALSE,
101,The Descent of Monsters,Jy Yang,fiction,,FALSE,
109,The Gathering Storm,"Robert Jordan, Brandon Sanderson",fiction,,FALSE,
60,The Graphic Design Exercise Book,"Carolyn Knight, Jessica Glaser",educational,,FALSE,
77,The Guru’s Guide to Transact-SQL,Henderson,educational,,FALSE,
7,The House On The Cliff,Franklin W. Dixon,fiction,,FALSE,
28,The Housekeeper and the Professor,Yoko Ogawa,fiction,"Frank and Joe Hardy are investigating a mysterious old house high on the cliffs above Barmet Bay when they are frightened off by a scream. The boys return to the apparently haunted house when they make a connection between the place and a smuggling case their father is working on. When their father goes missing, they have to investigate the caves beneath the house and confront the smugglers.",FALSE,
105,The Merrian Webster Dictionary,TBD,educational,,FALSE,
134,The Moscow Puzzles: 359 Mathematical Recreations,Kordemsky,educational,,FALSE,
143,The Name Jar,Yangsook Choi,fiction,,FALSE,
102,The Red Threads of Fortune,Jy Yang,fiction,,FALSE,
23,The Starfish and The Spider,Ori Brafman and Rod A. Beckstrom,self-help,,FALSE,
128,The Tactics of Small Boat Racing,Norton,educational,,FALSE,
61,The Way to Design,Steve Vassallo,educational,,FALSE,
32,The White Tiger,Aravind Adiga,fiction,,FALSE,
26,This Changes Everything: Capitalism vs The Climate,Naomi Klein,educational,,FALSE,
137,This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar",fiction,,FALSE,
92,Tomorrow Will Be Different,Sarah Mcbride,non-fiction,,FALSE,
110,Towers of Midnight,Robert Jordan and Brandon Sanderson,fiction,,FALSE,
145,Tuko and the Birds,Shirley Climo,fiction,,FALSE,
63,Undercover: User Experience Design,Bowles and Box,educational,,FALSE,
127,Understanding the Racing Rules of Sailing Through 2012,Dave Perry,educational,,FALSE,
38,Visual C#: How to Program,Deitel,educational,,FALSE,
125,Walking Tours of Cusco and the Sacred Valley,Brien Foerster,educational,,FALSE,
90,we are the ants,Hutchison,fiction,,FALSE,
76,"Web Programming with HTML, XHT and CSS",TBD,educational,,FALSE,
114,What Do You Want To Do Before You Die,Ben Nemtin,self-help,,FALSE,
115,What is Mathematics,Courant Robbins Stewart,educational,2 copies,FALSE,
139,What is Mathematics ?,Courant Robbins Stewart,educational,2 copies,FALSE,
5,What To Expect When You’re Expecting,"Heidi Murkoff, Sharon Mazel",health,,FALSE,
18,When,Daniel H. Pink,self-help,,FALSE,
80,Windows Scripting: Self-Paced Learning Guide,Wislon,educational,"In When, Pink distills cutting-edge research and data on timing and synthesizes them into a fascinating, readable narrative packed with irresistible stories and practical takeaways that give readers compelling insights into how we can live richer, more engaged lives.",FALSE,
107,Winter Heart,Robert Jordan,fiction,,FALSE,
19,Wisdom at Work,Chip Conley,self-help,,FALSE,
22,Writing Down the Bones,Natalie Goldberg,educational,"At age 52, after selling the company he founded and ran as CEO for 24 years, rebel boutique hotelier Chip Conley was looking at an open horizon in midlife. Then he received a call from the young founders of Airbnb, asking him to help grow their disruptive start-up into a global hospitality giant. He had the industry experience, but Conley was lacking in the digital fluency of his 20-something colleagues. He didn't write code, or have an Uber or Lyft app on his phone, was twice the age of the average Airbnb employee, and would be reporting to a CEO young enough to be his son. Conley quickly discovered that while he'd been hired as a teacher and mentor, he was also in many ways a student and intern. What emerged is the secret to thriving as a mid-life worker: learning to marry wisdom and experience with curiosity, a beginner's mind, and a willingness to evolve, all hallmarks of the ""Modern Elder.”",FALSE,
144,Yeh-Shen: A Cinderalla Story from China,Ai-Ling Louie,fiction,"Natalie Goldberg's word-of-mouth hit has sold well over half a million copies. Goldberg, who has conducted writing workshops for both beginners and professionals all over the United States, sees writing as a practice that helps us comprehend the value of our lives. With insight, humor, and practicality, she inspires writers and would-be writers alike to take the leap into writing creatively and well.",FALSE,
93,Zami: A New Spelling of My Name,Audre Lorde,non-fiction,,FALSE,
141,Zen Shorts,Jon J Muth,fiction,,FALSE,
